MINIREK BAROMETER ALTITUDE	MINIREK BAROMETER ALTITUDE	MINIREK BAROMETER PRESSURE	MINIREK BAROMETER PRESSURE	MINIREK BAROMETER ALTITUDE	MINIREK BAROMETER ALTITUDE	SYSTEM META RECEIVED_TIMESECONDS	SYSTEM META RECEIVED_TIMESECONDS	
X	Y	X	Y	X	Y	X	Y	
1541280777.202996	675.3275146484375	92892.0	92892.0	1541281099.125036	786.8471069335938			
1541280777.283089	674.9719848632812	92904.0	92904.0	1541281099.236879	788.2847290039062			
1541280777.362839	675.5941162109375	92907.0	92907.0	1541281099.3167691	787.74560546875			
1541280777.4428759	675.4163818359375	92906.0	92906.0	1541281099.396638	787.5658569335938			
1541280777.474972	675.9496459960938	92906.0	92906.0	1541281099.47664	787.83544921875			
1541280777.5866199	675.7718505859375	92910.0	92910.0	1541281099.5571158	787.4760131835938			
1541280777.666678	675.9496459960938	92907.0	92907.0	1541281099.588619	787.2064819335938			
1541280777.698611	675.9496459960938	92918.0	92918.0	1541281099.700403	785.7689819335938			
1541280777.810446	675.6829833984375	92919.0	92919.0	1541281099.780391	786.3079833984375			
1541280777.8905568	675.9496459960938	92915.0	92915.0	1541281099.8603609	785.8588256835938			
1541280777.986261	676.39404296875	92921.0	92921.0	1541281099.940309	785.6791381835938			
1541280778.002364	676.0385131835938	92935.0	92935.0	1541281100.02026	785.9486694335938			
1541280778.114253	676.39404296875	92928.0	92928.0	1541281100.052277	785.05029296875			
1541280778.194277	676.30517578125	92933.0	92933.0	1541281100.164099	786.0385131835938			
1541280778.273946	676.30517578125	92920.0	92920.0	1541281100.2440698	785.5892944335938			
1541280778.354034	676.2162475585938	92918.0	92918.0	1541281100.2761269	786.6673583984375			
1541280778.433871	676.30517578125	92920.0	92920.0	1541281100.403866	786.5775146484375			
1541280778.465875	676.2162475585938	92917.0	92917.0	1541281100.48401	786.5775146484375			
1541280778.5777228	676.48291015625	92914.0	92914.0	1541281100.563941	786.2181396484375			
1541280778.657644	676.6607055664062	92916.0	92916.0	1541281100.595943	785.6791381835938			
1541280778.737503	676.6607055664062	92928.0	92928.0	1541281100.707662	787.74560546875			
1541280778.8174741	676.2162475585938	92922.0	92922.0	1541281100.787759	787.5658569335938			
1541280778.8973498	676.48291015625	92923.0	92923.0	1541281100.8676858	787.92529296875			
1541280778.929379	676.9273681640625	92921.0	92921.0	1541281100.947535	787.3861694335938			
1541280779.041319	676.48291015625	92926.0	92926.0	1541281101.027585	786.7572021484375			
